#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:toy_example_3_1_1_2" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:toy_example_3_1_1_2" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:toy_example_3_1_1_2" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:toy_example_3_1_1_2">
#                <taxonset id="TaxonSet.toy_example_3_1_1_2" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:toy_example_3_1_1_2" name="distribution" x="@birthRate2.t:toy_example_3_1_1_2">
#            <Uniform id="Uniform.0" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="DeathRatePrior.t:toy_example_3_1_1_2" name="distribution" x="@relativeDeathRate2.t:toy_example_3_1_1_2">
#            <Uniform id="Uniform.01" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@toy_example_3_1_1_2" id="treeLikelihood.toy_example_3_1_1_2" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:toy_example_3_1_1_2">
#            <siteModel id="SiteModel.s:toy_example_3_1_1_2" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:toy_example_3_1_1_2" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:toy_example_3_1_1_2" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:toy_example_3_1_1_2" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:toy_example_3_1_1_2" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:toy_example_3_1_1_2" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:toy_example_3_1_1_2" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	BirthDeath	birthRate2	relativeDeathRate2	
0	-7928.411597272501	-7918.764429747679	-9.647167524822102	-7918.764429747679	1.474305781851418	-2.739412245839964	1.3046753669689939	0.5	
1000	-3180.8560371578724	-3196.20605486156	15.350017703687843	-3196.20605486156	0.05694720781062282	22.25777298266998	5.694053895015894	0.8690035236242986	
2000	-3170.066125300338	-3187.179570703324	17.11344540298578	-3187.179570703324	0.047745182183039754	24.021200681967915	7.594721786571706	0.8156196053847777	
3000	-3170.0823521242387	-3186.4440625892707	16.361710465031898	-3186.4440625892707	0.04725244093830836	23.269465744014035	2.0692211924171158	0.9705007482960663	
4000	-3172.176012838284	-3187.9871403583925	15.811127520108734	-3187.9871403583925	0.050884559051066314	22.71888279909087	3.4909191362140257	0.8871970440124105	
5000	-3173.1068783237615	-3188.8282424796107	15.72136415584928	-3188.8282424796107	0.051477763654679626	22.629119434831416	5.894712482508992	0.8090704504184298	
6000	-3179.0035481738587	-3192.505519026006	13.501970852147025	-3192.505519026006	0.055172701745244364	20.409726131129162	24.252295922613886	0.7922098800347491	
7000	-3169.820718216204	-3185.354699039908	15.533980823704123	-3185.354699039908	0.05026235232581762	22.44173610268626	34.244987170308306	0.568292601892731	
8000	-3172.1005897542946	-3185.3886409653473	13.288051211052604	-3185.3886409653473	0.05179798901721408	20.19580649003474	23.789727615735604	0.7817209062835786	
9000	-3172.4825722288547	-3189.194223943791	16.711651714936323	-3189.194223943791	0.05302518805525318	23.61940699391846	11.475552308399775	0.7748173971704527	
10000	-3169.82901998221	-3187.8000326516476	17.97101266943779	-3187.8000326516476	0.04538727596911198	24.878767948419927	16.504940574419745	0.5123151997119696	
