"","filename","sti","ai","pi","si","nltt_stat"
"1","toy_example_1.RDa","1","1","1","1",0.0585494235088237
"2","toy_example_1.RDa","1","1","1","2",0.0682807842687847
"3","toy_example_1.RDa","1","1","1","3",0.0279221354301521
"4","toy_example_1.RDa","1","1","1","4",0.0281421205174146
"5","toy_example_1.RDa","1","1","1","5",0.0325954093414244
"6","toy_example_1.RDa","1","1","1","6",0.0212612737240703
"7","toy_example_1.RDa","1","1","1","7",0.0214739616243832
"8","toy_example_1.RDa","1","1","1","8",0.0220423482670997
"9","toy_example_1.RDa","1","1","1","9",0.0202522361104981
"10","toy_example_1.RDa","1","1","1","10",0.0560667465425658
"11","toy_example_1.RDa","2","1","1","1",0.0566115643428628
"12","toy_example_1.RDa","2","1","1","2",0.117522389648421
"13","toy_example_1.RDa","2","1","1","3",0.0422405648606195
"14","toy_example_1.RDa","2","1","1","4",0.0287633253034643
"15","toy_example_1.RDa","2","1","1","5",0.0222331454372535
"16","toy_example_1.RDa","2","1","1","6",0.0280863253146253
"17","toy_example_1.RDa","2","1","1","7",0.0342052231818969
"18","toy_example_1.RDa","2","1","1","8",0.0295677840915814
"19","toy_example_1.RDa","2","1","1","9",0.02748816059294
"20","toy_example_1.RDa","2","1","1","10",0.0212253195113237
"21","toy_example_2.RDa","1","1","1","1",0.0287385761482225
"22","toy_example_2.RDa","1","1","1","2",0.0230698236974182
"23","toy_example_2.RDa","1","1","1","3",0.0154508096241535
"24","toy_example_2.RDa","1","1","1","4",0.0170890249296705
"25","toy_example_2.RDa","1","1","1","5",0.0470151408104732
"26","toy_example_2.RDa","1","1","1","6",0.0378274590617811
"27","toy_example_2.RDa","1","1","1","7",0.0384537480179473
"28","toy_example_2.RDa","1","1","1","8",0.0303823268479121
"29","toy_example_2.RDa","1","1","1","9",0.0401791745200069
"30","toy_example_2.RDa","1","1","1","10",0.0411673964521459
"31","toy_example_2.RDa","2","1","1","1",0.0229579411874794
"32","toy_example_2.RDa","2","1","1","2",0.0348688535931234
"33","toy_example_2.RDa","2","1","1","3",0.0504396345235105
"34","toy_example_2.RDa","2","1","1","4",0.0231740366082906
"35","toy_example_2.RDa","2","1","1","5",0.0092569894183174
"36","toy_example_2.RDa","2","1","1","6",0.0300522701868302
"37","toy_example_2.RDa","2","1","1","7",0.043089685181174
"38","toy_example_2.RDa","2","1","1","8",0.0645596096738693
