"","rng_seed","sirg","siri","scr","erg","eri","age","n_species_trees_samples","mutation_rate","n_alignments","sequence_length","mcmc_chainlength","n_beast_runs"
"article_0_0_0_0_0.RDa",1,0.1,0.1,0.1,0,0,15,2,0.1,2,1000,1e+06,2
"article_0_0_0_0_1.RDa",1,0.1,0.1,0.1,0,0,15,2,0.1,2,10000,1e+06,2
"article_0_0_0_0_2.RDa",1,0.1,0.1,0.1,0,0,15,2,0.1,2,1e+05,1e+06,2
"article_0_0_0_1_0.RDa",1,0.1,0.1,0.1,0,0,15,2,0.01,2,1000,1e+06,2
"article_0_0_0_1_1.RDa",1,0.1,0.1,0.1,0,0,15,2,0.01,2,10000,1e+06,2
"article_0_0_0_1_2.RDa",1,0.1,0.1,0.1,0,0,15,2,0.01,2,1e+05,1e+06,2
"article_0_0_0_2_0.RDa",1,0.1,0.1,0.1,0,0,15,2,0.001,2,1000,1e+06,2
"article_0_0_0_2_1.RDa",1,0.1,0.1,0.1,0,0,15,2,0.001,2,10000,1e+06,2
"article_0_0_0_2_2.RDa",1,0.1,0.1,0.1,0,0,15,2,0.001,2,1e+05,1e+06,2
"article_0_0_1_0_0.RDa",1,0.1,0.1,0.1,0.1,0.1,15,2,0.1,2,1000,1e+06,2
"article_0_0_1_0_1.RDa",1,0.1,0.1,0.1,0.1,0.1,15,2,0.1,2,10000,1e+06,2
"article_0_0_1_0_2.RDa",1,0.1,0.1,0.1,0.1,0.1,15,2,0.1,2,1e+05,1e+06,2
"article_0_0_1_1_0.RDa",1,0.1,0.1,0.1,0.1,0.1,15,2,0.01,2,1000,1e+06,2
"article_0_0_1_1_1.RDa",1,0.1,0.1,0.1,0.1,0.1,15,2,0.01,2,10000,1e+06,2
"article_0_0_1_1_2.RDa",1,0.1,0.1,0.1,0.1,0.1,15,2,0.01,2,1e+05,1e+06,2
"article_0_0_1_2_0.RDa",1,0.1,0.1,0.1,0.1,0.1,15,2,0.001,2,1000,1e+06,2
"article_0_0_1_2_1.RDa",1,0.1,0.1,0.1,0.1,0.1,15,2,0.001,2,10000,1e+06,2
"article_0_0_1_2_2.RDa",1,0.1,0.1,0.1,0.1,0.1,15,2,0.001,2,1e+05,1e+06,2
"article_0_0_2_0_0.RDa",1,0.1,0.1,0.1,0.2,0.2,15,2,0.1,2,1000,1e+06,2
"article_0_0_2_0_1.RDa",1,0.1,0.1,0.1,0.2,0.2,15,2,0.1,2,10000,1e+06,2
"article_0_0_2_0_2.RDa",1,0.1,0.1,0.1,0.2,0.2,15,2,0.1,2,1e+05,1e+06,2
"article_0_0_2_1_0.RDa",1,0.1,0.1,0.1,0.2,0.2,15,2,0.01,2,1000,1e+06,2
"article_0_0_2_1_1.RDa",1,0.1,0.1,0.1,0.2,0.2,15,2,0.01,2,10000,1e+06,2
"article_0_0_2_1_2.RDa",1,0.1,0.1,0.1,0.2,0.2,15,2,0.01,2,1e+05,1e+06,2
"article_0_0_2_2_0.RDa",1,0.1,0.1,0.1,0.2,0.2,15,2,0.001,2,1000,1e+06,2
"article_0_0_2_2_1.RDa",1,0.1,0.1,0.1,0.2,0.2,15,2,0.001,2,10000,1e+06,2
"article_0_0_2_2_2.RDa",1,0.1,0.1,0.1,0.2,0.2,15,2,0.001,2,1e+05,1e+06,2
"article_0_0_3_0_0.RDa",1,0.1,0.1,0.1,0.4,0.4,15,2,0.1,2,1000,1e+06,2
"article_0_0_3_0_1.RDa",1,0.1,0.1,0.1,0.4,0.4,15,2,0.1,2,10000,1e+06,2
"article_0_0_3_0_2.RDa",1,0.1,0.1,0.1,0.4,0.4,15,2,0.1,2,1e+05,1e+06,2
"article_0_0_3_1_0.RDa",1,0.1,0.1,0.1,0.4,0.4,15,2,0.01,2,1000,1e+06,2
"article_0_0_3_1_1.RDa",1,0.1,0.1,0.1,0.4,0.4,15,2,0.01,2,10000,1e+06,2
"article_0_0_3_1_2.RDa",1,0.1,0.1,0.1,0.4,0.4,15,2,0.01,2,1e+05,1e+06,2
"article_0_0_3_2_0.RDa",1,0.1,0.1,0.1,0.4,0.4,15,2,0.001,2,1000,1e+06,2
"article_0_0_3_2_1.RDa",1,0.1,0.1,0.1,0.4,0.4,15,2,0.001,2,10000,1e+06,2
"article_0_0_3_2_2.RDa",1,0.1,0.1,0.1,0.4,0.4,15,2,0.001,2,1e+05,1e+06,2
"article_0_1_0_0_0.RDa",1,0.1,0.1,0.3,0,0,15,2,0.1,2,1000,1e+06,2
"article_0_1_0_0_1.RDa",1,0.1,0.1,0.3,0,0,15,2,0.1,2,10000,1e+06,2
"article_0_1_0_0_2.RDa",1,0.1,0.1,0.3,0,0,15,2,0.1,2,1e+05,1e+06,2
"article_0_1_0_1_0.RDa",1,0.1,0.1,0.3,0,0,15,2,0.01,2,1000,1e+06,2
"article_0_1_0_1_1.RDa",1,0.1,0.1,0.3,0,0,15,2,0.01,2,10000,1e+06,2
"article_0_1_0_1_2.RDa",1,0.1,0.1,0.3,0,0,15,2,0.01,2,1e+05,1e+06,2
"article_0_1_0_2_0.RDa",1,0.1,0.1,0.3,0,0,15,2,0.001,2,1000,1e+06,2
"article_0_1_0_2_1.RDa",1,0.1,0.1,0.3,0,0,15,2,0.001,2,10000,1e+06,2
"article_0_1_0_2_2.RDa",1,0.1,0.1,0.3,0,0,15,2,0.001,2,1e+05,1e+06,2
